FID,Id,Plant,x,y
1,0,BlackElderberry,-68.887046331721,44.0346576971732
2,0,Apple,-68.8890062732562,44.0345496946682
3,0,BeachRose,-68.8866838886931,44.0344698800458
4,0,Bayberry,-68.8892566965412,44.0344638637118
5,0,BeachPea,-68.8854112274594,44.0317014924062
6,0,Blackberry,-68.885016896256,44.0323373716971
7,0,Blueberry,-68.8868767478219,44.0328398303861
8,0,BullThistle,-68.8912356290467,44.0339918973317
9,0,Calendula,-68.8911760322392,44.0339918405869
10,0,CanadaMayflower,-68.884775660936,44.0329262169163
11,0,CinnamonFern,-68.8899733622827,44.0340330924089
12,0,Foxglove,-68.8910083781773,44.0340023084699
13,0,Garlic,-68.8891687967545,44.0346092140145
14,0,HorseChestnut,-68.8885331059653,44.0343608781474
15,0,Mustard,-68.8911295468792,44.0339917963045
16,0,Peony,-68.8871990870102,44.034324206098
17,0,Raspberry,-68.8870563647155,44.0346621791075
18,0,RedElderberry,-68.8910274528433,44.0340001253179
19,0,RedSpruce,-68.8901555376976,44.0339932374158
20,0,Sarsasparilla,-68.8847776244344,44.0328738187663
21,0,Starflower,-68.8852758696547,44.0330814833935
22,0,WaterLily,-68.8900922940644,44.0341344066266
23,0,Yarrow,-68.8890513961778,44.0345678246343
